"FIRE_YEAR","STAT_CAUSE_DESCR","sum_sqmi_burned"
2009,Fireworks,0.01
2009,Lightning,104.34
2009,Miscellaneous,19.01
2009,Missing/Undefined,2.02
2009,Powerline,0.11
2009,Smoking,0.01
2010,Arson,0.18
2010,Campfire,0.11
2010,Children,0.0
2010,Debris Burning,0.05
2010,Equipment Use,9.29
2010,Fireworks,0.01
2010,Lightning,98.0
2010,Miscellaneous,27.11
2010,Missing/Undefined,0.48
2010,Powerline,0.0
2010,Railroad,0.38
2010,Smoking,0.06
2010,Structure,0.0
2011,Arson,0.16
2011,Campfire,0.46
2011,Children,0.28
2011,Debris Burning,2.12
2011,Equipment Use,0.12
2011,Fireworks,0.03
2011,Lightning,298.33
2011,Miscellaneous,25.66
2011,Missing/Undefined,8.3
2011,Powerline,0.1
2011,Railroad,0.0
2011,Smoking,0.01
2011,Structure,0.0
2012,Arson,10.46
2012,Campfire,0.43
2012,Children,0.02
2012,Debris Burning,2.52
2012,Equipment Use,32.59
2012,Fireworks,0.11
2012,Lightning,2328.15
2012,Miscellaneous,6.97
2012,Missing/Undefined,10.68
2012,Powerline,0.02
2012,Railroad,0.1
2012,Smoking,0.08
2012,Structure,0.01
2013,Arson,82.93
2013,Campfire,0.14
2013,Children,0.0
2013,Debris Burning,0.78
2013,Equipment Use,1.44
2013,Fireworks,0.25
2013,Lightning,311.84
2013,Miscellaneous,8.12
2013,Missing/Undefined,3.7
2013,Powerline,0.0
2013,Railroad,1.18
2013,Smoking,0.11
2013,Structure,0.0
2014,Arson,19.31
2014,Campfire,2.15
2014,Children,0.15
2014,Debris Burning,0.89
2014,Equipment Use,57.62
2014,Fireworks,0.01
2014,Lightning,1314.4
2014,Miscellaneous,24.67
2014,Missing/Undefined,9.53
2014,Powerline,0.42
2014,Railroad,0.01
2014,Smoking,0.02
2014,Structure,0.41
2015,Arson,0.25
2015,Campfire,32.84
2015,Children,0.01
2015,Debris Burning,4.9
2015,Equipment Use,180.48
2015,Fireworks,0.01
2015,Lightning,499.28
2015,Miscellaneous,6.48
2015,Missing/Undefined,24.59
2015,Powerline,0.05
2015,Railroad,0.12
2015,Smoking,0.18
2015,Structure,0.06
